小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,,,
后宰门街,玄武,178,28850元/平米,2室1厅1厨1卫,高楼层 (共7层),61.7㎡,平层,54.23㎡,板楼,南 北,钢混结构,简装,一梯四户,有,70年,2017/11/26,房改房,2002/4/17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
富力城,江宁,245,27072元/平米,3室2厅1厨1卫,低楼层 (共18层),90.5㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,70年,2017/7/9,商品房,2015/11/24,普通住宅,满两年,共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片,,,
钟山花园城山水居,玄武,570,42020元/平米,3室2厅1厨2卫,低楼层 (共11层),135.65㎡,暂无数据,117.07㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017/8/15,商品房,2007/6/26,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
文德里小区,玄武,179,33309元/平米,3室1厅1厨1卫,高楼层 (共7层),53.74㎡,平层,44.91㎡,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2017/11/2,房改房,2013/7/5,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
天景山公寓景秀苑,江宁,174,18789元/平米,3室2厅1厨1卫,高楼层 (共6层),92.61㎡,暂无数据,81.82㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/12/31,动迁安置房,2017/1/1,普通住宅,未满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
仙龙湾山庄,栖霞,470,32971元/平米,3室2厅1厨2卫,低楼层 (共6层),142.55㎡,暂无数据,125.14㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2017/2/13,商品房,2011/11/16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
北苑一村,玄武,178,30925元/平米,2室1厅1厨1卫,高楼层 (共6层),57.56㎡,暂无数据,51.29㎡,板楼,南,钢混结构,其他,一梯三户,暂无数据,70年,2018/3/18,房改房,2012/5/29,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
芦席营82号,鼓楼,288,46325元/平米,2室2厅1厨1卫,中楼层 (共5层),62.17㎡,暂无数据,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,暂无数据,70年,2018/3/19,房改房,2002/1/23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
中电颐和家园一期,玄武,420,35076元/平米,3室2厅1厨2卫,中楼层 (共11层),119.74㎡,平层,99.53㎡,塔楼,南 北,钢混结构,其他,一梯两户,有,70年,2018/1/23,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
南林二村,玄武,186,33611元/平米,2室1厅1厨1卫,高楼层 (共6层),55.34㎡,平层,48.46㎡,板楼,南,砖混结构,简装,一梯两户,暂无数据,70年,2017/12/29,房改房,2014/2/25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
摄山星城听竹苑,栖霞,180,16823元/平米,4室1厅1厨2卫,高楼层 (共6层),107㎡,暂无数据,93.77㎡,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2017/6/20,商品房,2013/9/5,普通住宅,满两年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
钟山晶典苑,栖霞,270,31374元/平米,2室2厅1厨1卫,高楼层 (共11层),86.06㎡,平层,71.51㎡,板塔结合,南,钢混结构,其他,一梯三户,有,70年,2017/11/19,商品房,2014/3/24,普通住宅,满两年,共有,"
                                有抵押 客户偿还
                              ",已上传房本照片,,,
康盛花园,雨花台,245,37903元/平米,2室1厅1厨1卫,低楼层 (共7层),64.64㎡,暂无数据,暂无数据,板楼,南,钢混结构,其他,一梯两户,有,70年,2018/3/16,商品房,2011/2/17,普通住宅,满五年,非共有,"
                                暂无数据
                              ",已上传房本照片,,,
德安花园,雨花台,285,32354元/平米,2室2厅1厨1卫,高楼层 (共6层),88.09㎡,暂无数据,77.5㎡,板塔结合,南 北,砖混结构,精装,一梯两户,暂无数据,70年,2017/12/18,商品房,2016/5/16,普通住宅,未满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,
朗诗钟山绿郡,栖霞,650,46479元/平米,3室2厅1厨2卫,低楼层 (共6层),139.85㎡,暂无数据,1㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017/12/24,商品房,2017/12/10,普通住宅,未满两年,非共有,"
                                有抵押 98万元 客户偿还
                              ",已上传房本照片,,,
金陵天成,江宁,128,24498元/平米,1室1厅1厨1卫,中楼层 (共18层),52.25㎡,平层,39.63㎡,塔楼,东南,钢混结构,精装,两梯三十二户,有,70年,2018/3/14,商品房,2015/10/13,普通住宅,满两年,共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,,,
东方龙湖湾南湖苑,江宁,315,27832元/平米,3室2厅1厨1卫,低楼层 (共11层),113.18㎡,暂无数据,93.45㎡,板楼,南,钢混结构,简装,一梯三户,有,70年,2017/8/26,商品房,2016/3/2,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
天润城第一街区,浦口,251,19830元/平米,3室2厅1厨2卫,高楼层 (共6层),126.58㎡,跃层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,暂无数据,70年,2018/2/25,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
爱达花园紫藤园,建邺,350,31304元/平米,3室2厅1厨2卫,中楼层 (共6层),111.81㎡,平层,95.7㎡,板楼,南 西 北,钢混结构,其他,一梯两户,暂无数据,50年,2018/1/19,商品房,2010/11/17,普通住宅,满五年,共有,"
                                暂无数据
                              ",已上传房本照片,,,
托乐嘉睦邻居,江宁,355,28872元/平米,3室2厅1厨2卫,中楼层 (共11层),122.96㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2016/9/8,商品房,2006/4/12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,
正荣润江城,浦口,650,28937元/平米,6室4厅1厨2卫,低楼层 (共31层),224.63㎡,跃层,暂无数据,板楼,南,钢混结构,其他,三梯三户,有,70年,2018/3/6,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片,,,
集庆路,秦淮,320,34943元/平米,4室2厅1厨2卫,低楼层 (共7层),91.58㎡,平层,78.4㎡,板楼,南 北,砖混结构,其他,一梯两户,暂无数据,70年,2017/10/7,动迁安置房,2003/6/11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
瑞金路二号四号小区,秦淮,205,37246元/平米,2室1厅1厨1卫,高楼层 (共7层),55.04㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,暂无数据,70年,2018/1/9,房改房,2000/9/2,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,
