id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,东方兰园,栖霞,399,32178元/平米,3室2厅1厨2卫,低楼层 (共21层),124㎡,暂无数据,暂无数据,板楼,东 南 北,钢混结构,毛坯,两梯四户,有,70年,2018-03-31,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 140万元 交通银行 客户偿还,未上传房本照片
2,金陵御沁园,鼓楼,680,34445元/平米,5室2厅1厨3卫,高楼层 (共19层),197.42㎡,跃层,162.64㎡,板塔结合,南 北,钢混结构,其他,两梯两户,有,70年,2017-12-21,商品房,2005-06-01,普通住宅,满五年,共有,暂无数据,已上传房本照片
3,北苑一村,玄武,152,29682元/平米,2室1厅1厨1卫,高楼层 (共6层),51.21㎡,暂无数据,45.7㎡,板楼,南 北,钢混结构,其他,一梯三户,无,70年,2017-09-09,房改房,2017-10-26,普通住宅,未满两年,共有,暂无数据,已上传房本照片
4,诚品城,栖霞,230,25556元/平米,2室2厅1厨1卫,高楼层 (共6层),90㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,70年,2017-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 客户偿还,未上传房本照片
5,亚东观云国际,雨花台,315,39019元/平米,2室1厅1厨1卫,中楼层 (共28层),80.73㎡,暂无数据,58.97㎡,塔楼,南,钢混结构,精装,两梯三户,有,70年,2017-08-21,商品房,2012-05-21,普通住宅,满五年,共有,有抵押 40万元,已上传房本照片
16,秦淮绿洲东苑,江宁,580,30052元/平米,4室2厅1厨3卫,中楼层 (共4层),193㎡,null,暂无数据,null,南 北,钢混结构,其他,null,null,70年,2017-03-02,商品房,2017-10-31,别墅,未满两年,非共有,暂无数据,已上传房本照片
17,后标营28号,秦淮,260,35379元/平米,2室2厅1厨1卫,低楼层 (共7层),73.49㎡,平层,63.64㎡,板塔结合,南 北,钢混结构,其他,一梯两户,无,70年,2018-03-24,商品房,2016-01-26,普通住宅,满两年,非共有,无抵押,已上传房本照片
18,中南世纪雅苑,栖霞,206,23860元/平米,3室2厅1厨1卫,中楼层 (共34层),86.34㎡,暂无数据,63.48㎡,塔楼,南 北,钢混结构,毛坯,一梯四户,暂无数据,70年,2017-12-18,商品房,2017-03-08,普通住宅,未满两年,共有,有抵押 业主自还,已上传房本照片
19,春江新城新河苑二期,雨花台,178,21724元/平米,3室1厅1厨1卫,中楼层 (共18层),81.94㎡,平层,77.15㎡,板楼,南 北,钢混结构,其他,两梯四户,有,70年,2018-03-26,房改房,2017-02-22,普通住宅,未满两年,共有,暂无数据,已上传房本照片
20,江雁山水雅苑,鼓楼,363,31071元/平米,3室2厅1厨2卫,低楼层 (共6层),116.83㎡,平层,105.9㎡,板楼,南 北,钢混结构,其他,一梯两户,无,70年,2018-01-17,商品房,2008-07-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片
21,枫林湾,江宁,247,31081元/平米,2室2厅1厨1卫,高楼层 (共18层),79.47㎡,平层,64.54㎡,塔楼,南,钢混结构,其他,两梯四户,有,70年,2017-10-31,商品房,2015-11-17,普通住宅,满两年,共有,暂无数据,已上传房本照片
